pískovištích	písk ov išt -ích	pískoviště	písk ov išt -ě
vysoké	vys ok -é	vysoká	vys ok -á
vzdal	vz d a l -0	vzdát	vz d á -t
nevzdává	ne vz d á v á -0	vzdávat	vz d á v a -t
vzdorovitější	z dor ov it ějš -í	vzdorovitý	vz dor ov it -ý
vzdychá	vz dych á -0	vzdychat	vz dych a -t
vzdychla	vz dych l -a	vzdychnout	vz dych nou -t
vzhlédneme	vz hléd ne -me	vzhlédnout	vz hléd nou -t
vzchop	vz chop -0	vzchopit	vz chop i -t
vzala	vz a l -a	vzít	vz í -t
vzkážu	vz káž u -0	vzkázat	vz káz a -t
vzlétněme	vz lét ně -me	vzlétnout	vz lét nou -t
vznesl	vz nes l -0	vznést	vz nés -t
vznešenějšímu	vz nes en ějš -ímu	vznešený	vz neš en -ý
vzniklo	vz nik l -o	vzniknout	vz nik nou -t
vzpamatuj	vz pamat uj -0	vzpamatovat	vz pamat ova -t
nevzpomínám	ne vz po mín á -m	vzpomínat	vz po mín a -t
vzpomínkám	vz po mín k -ám	vzpomínka	vz po mín k -a
vzpourám	vz pour -ám	vzpoura	vz pour -a
nevzrušilo	ne vz ruš i l -o	vzrušit	vz ruš i -t
nejvzácnější	nej vzácn ějš -í	vzácný	vzácn -ý
vzejde	vze jd e -0	vzejít	vze jí -t
dycky	dycky	vždycky	vždycky
zbabělče	z bab ě l č -e	zbabělec	z bab ě l ec -0
zbavil	z bav i l -0	zbavit	z bav i -t
nejzbědovanější	nej z běd ova n ějš -í	zbědovaný	z běd ova n -ý
zbili	z bi l -i	zbít	z bí -t
nezbořila	ne z boř i l -a	zbořit	z boř i -t
zbraně	z bran -ě	zbraň	z braň -0
zbyl	z by l -0	zbýt	z bý -t
zbytečnou	z byt eč n -ou	zbytečný	z byt eč n -ý
zděšeni	z děš en -i	zděsit	z děs i -t
zdržím	z drž í -m	zdržet	z drž e -t
zdržuju	z drž uj -u	zdržovat	z drž ova -t
zhasnou	z has n -ou	zhasnout	z has nou -t
nejjednodušší	nej jedn +o duš š -í	zjednodušit	z jedn +o duš i -t
zjistím	z jist í -m	zjistit	z jist i -t
zkazilo	z kaz i l -o	zkazit	z kaz i -t
nezklamete	ne z klam e -te	zklamat	z klam a -t
zkomplikuješ	z kompl ik uje -š	zkomplikovat	z kompl ik ova -t
zkouším	z kouš í -m	zkoušet	z kouš e -t
zkusím	z kus í -m	zkusit	z kus i -t
nejzkušenější	nej z kuš en ějš -í	zkušený	z kuš en -ý
zmátl	z mát l -0	zmást	z más -t
zmateného	z mat en -ého	zmatený	z mat en -ý
nezmínila	ne z mín i l -a	zmínit	z mín i -t
zmiňuji	z miň uj -i	zmiňovat	z miň ova -t
zmítá	z mít á -0	zmítat	z mít a -t
zmizí	z miz í -0	zmizet	z miz e -t
nezmohl	ne z moh l -0	zmoci	z moc -i
neznečišťuje	ne z ne čišť uje -0	znečišťovat	z ne čišť ova -t
zneklidňována	z ne klid ň ová n -a	zneklidňovat	z ne klid ň ova -t
znešvařena	z ne švař en -a	znešvařit	z ne švař i -t
zneužila	z ne u ži l -a	zneužít	z ne u ží -t
zneužíváme	z ne u ží v á -me	zneužívat	z ne u ží v a -t
zničeného	z nič en -ého	zničený	z nič en -ý
zpovědi	z po věd -i	zpověď	z po věď -0
způsobili	z pů sob i l -i	způsobit	z pů sob i -t
zrudnul	z rud nu l -0	zrudnout	z rud nou -t
zrušenou	z ruš en -ou	zrušený	z ruš en -ý
ztrátách	z trát -ách	ztráta	z trát -a
ztratili	z trat i l -i	ztratit	z trat i -t
zůstáváme	z ů stá v á -me	zůstávat	z ů stá v a -t
zvedl	z ved l -0	zvednout	z ved nou -t
zvěstovaly	z věst ova l -y	zvěstovat	z věst ova -t
zvětšovaly	z větš ova l -y	zvětšovat	z větš ova -t
zvíří	z víř í -0	zvířit	z víř i -t
zvládnu	z vlád n -u	zvládnout	z vlád nou -t
zvykaly	z vyk a l -y	zvykat	z vyk a -t
nezvýšila	ne z výš i l -a	zvýšit	z výš i -t
zabedněnce	za bedn ě nc -e	zabedněnec	za bedn ěn ec -0
zabte	za b -te	zabít	za bí -t
nezabíjí	ne za bi j -í	zabíjet	za bíj e -t
zablesklo	za blesk l -o	zablesknout	za blesk nou -t
nezabývaly	ne z bý v a l -y	zabývat	za býv a -t
zaceluje	za cel uje -0	zacelovat	za cel ova -t
začíná	za čín á -0	začínat	za čín a -t
zadřela	za dř e l -a	zadřít	za dř í -t
zahnul	za h nu l -0	zahnout	za h nou -t
zahlédl	za hléd l -0	zahlédnout	za hléd nou -t
nezahořeli	ne za hoř e l -i	zahořet	za hoř e -t
zahrajeme	za hra je -me	zahrát	za hrá -t
zahřměl	za hřm ě l -0	zahřmít	za hřm í -t
zachmuřen	za chmuř en -0	zachmuřit	za chmuř i -t
zachráním	za chrán í -m	zachránit	za chrán i -t
zachce	za chc e -0	zachtít	za cht í -t
zašel	za š e l -0	zajít	za j í -t
zájmu	zá jm -u	zájem	zá jem -0
nezajímá	ne za jím á -0	zajímat	za jím a -t
zajištěn	za jišt ěn -0	zajistit	za jist i -t
zajištěnej	za jišt ěn -ej	zajištěný	za jišt ěn -ý
zákazníci	zá kaz níc -i	zákazník	zá kaz ník -0
základech	zá klad -ech	základ	zá klad -0
zaklaply	za klap l -y	zaklapnout	za klap nou -t
zaklenuly	za kle nu l -y	zaklenout	za kle nou -t
zaklepe	za klep e -0	zaklepat	za klep a -t
zaklesnuti	za kles nu t -í	zaklesnout	za kles nou -t
zakleti	za kle t -í	zaklít	za klí -t
zákony	zá kon -y	zákon	zá kon -0
zakopán	za kop á n -0	zakopat	za kop a -t
zákusky	zá kus k -y	zákusek	zá kus ek -0
zalejváte	za lejv á -te	zalejvat	za lej v a -t
nezalévaná	ne za lév a n -á	zalévaný	za lév a n -ý
nezáleželo	ne zá lež e l -o	záležet	zá lež e -t
zalil	za li l -0	zalít	za lí -t
zamávej	za máv ej -0	zamávat	za máv a -t
nezamčené	ne za mč en -é	zamčený	za mč en -ý
zámku	zá mk -u	zámek	zá mek -0
zaměstnanci	za měst n an c -i	zaměstnanec	za měst n an ec -0
zamčeno	za mč en -o	zamknout	za mk nou -t
zamluven	za mluv en -0	zamluvit	za mluv i -t
zamyslil	za mysl i l -0	zamyslet	za mysl e -t
zamžily	za mž i l -y	zamžít	za mž í -t
zaniklo	za nik l -o	zaniknout	za nik nou -t
nezaoblená	ne za obl en -á	zaoblený	za obl en -ý
zapadalo	za pad a l -o	zapadat	za pad a -t
zapadajícího	za pad aj íc -ího	zapadající	za pad aj íc -í
zapisují	za pis uj -í	zapisovat	za pis ova -t
zaplaven	za plav en -0	zaplavit	za plav i -t
zaplavuje	za plav uje -0	zaplavovat	za plav ova -t
nezapochyboval	ne za po chyb ova l -0	zapochybovat	za po chyb ova -t
zapříčiňuje	za pří čiň uje -0	zapříčiňovat	za pří čiň ova -t
zarámovány	za rám ová n -y	zarámovat	za rám ova -t
zarděnkami	za rd ě n k ami	zarděnky	za rd ě n k -y
zarmucuje	za rmuc uje -0	zarmucovat	za rmuc ova -t
zármutku	zá rmut k -u	zármutek	zá rmut ek -0
nezařaditelní	ne za řad i teln -í	zařaditelný	za řad i teln -ý
zařídím	za říd í -m	zařídit	za říd i -t
zařve	za řv e -0	zařvat	za řv a -t
zaslíbeni	za s líb en -i	zaslíbit	za s líb i -t
zásadám	zá sad -ám	zásada	zá sad -a
zasáhlo	za sáh l -o	zasáhnout	za sáh nou -t
zasilatelství	za sil a tel stv -í	zasílatelství	za síl a tel stv -í
zaslechli	za slech l -i	zaslechnout	za slech nou -t
zasloužím	za slouž í -m	zasloužit	za slouž i -t
zásluhám	zá sluh -ám	zásluha	zá sluh -a
nezasluhuje	ne za sluh uje -0	zasluhovat	za sluh ova -t
zasmáli	za smá l -i	zasmát	za smá -t
zásob	zá sob -0	zásoba	zá sob -a
zastavil	za stav i l -0	zastavit	za stav i -t
nezasténal	ne za stén a l -0	zasténat	za stén a -t
zástěře	zá stěř -e	zástěra	zá stěr -a
zástěrce	zá stěr c -e	zástěrka	zá stěr k -a
zastižen	za stiž en -0	zastihnout	za stih nou -t
zaťal	za ť a l -0	zatnout	za t nou -t
zatažena	za taž en -a	zatáhnout	za táh nou -t
zatčení	za tč en -í	zatčený	za tč en -ý
nezatížený	ne za tíž en -y	zatížený	za tíž en -ý
zatkneme	za tk ne -me	zatknout	za tk nou -t
zátoky	zá tok -y	zátoka	zá tok -a
zaujalo	za u j a l -o	zaujmout	za u j mou -t
zavalila	za val i l -a	zavalit	za val i -t
zavázali	za váz a l -i	zavázat	za váz a -t
zavazadla	za vaz a dl -a	zavazadlo	za vaz a dl -o
zavázanou	za váz a n -ou	zavázaný	za váz a n -ý
závazkům	zá vaz k -ům	závazek	zá vaz ek -0
zavedl	za ved l -0	zavést	za vés -t
zavezl	za vez l -0	zavézt	za véz -t
zavírají	za vír aj -í	zavírat	za vír a -t
zavoláme	za vol á -me	zavolat	za vol a -t
zavoní	za von í -0	zavonět	za von ě -t
zavrtí	za vrt í -0	zavrtět	za vrt ě -t
zavřenýma	za vř en -ýma	zavřený	za vř e n -ý
zavřeny	za vř en -y	zavřít	za vř í -t
zazněla	za zn ě l -a	zaznít	za zn í -t
zaznamenej	za znamen ej -0	zaznamenat	za znamen a -t
zazvonil	za zvon i l -0	zazvonit	za zvon i -t
zažili	za ži l -i	zažít	za ží -t
zdálo	zd á l -o	zdát	zd á -t
zemřel	ze mř e l -0	zemřít	ze mř í -t
zeptala	ze pt a l -a	zeptat	ze pt a -t
zdi	zd -i	zeď	zeď -0
zedníkům	zed ník -ům	zedník	zed ník -0
zeleniny	zelen in -y	zelenina	zelen in -a
zemáků	zem ák -ů	zemák	zem ák -0
zemité	zem it -é	zemitý	zem it -ý
zemského	zem sk -ého	zemský	zem sk -ý
zíraje	zír aj -e	zírat	zír a -t
zívl	zív l -0	zívnout	zív nou -t
zlému	zl -ému	zlý	zl -ý
zlatokopově	zlat +o kop ov -ě	zlatokopův	zlat +o kop ův -0
zlatovlasé	zlat +o vlas -é	zlatovlasý	zlat +o vlas -ý
zlověstná	zlo věst n -ý	zlověstný	zlo věst n -ý
nezlob	ne zlob -0	zlobit	zlob i -t
znalostí	zn a l ost -í	znalost	zn a l ost -0
zní	zn í -0	znít	zn í -t
známek	znám ek -0	známka	znám k -a
zpěvům	zpěv -ům	zpěv	zpěv -0
zpívaj	zpív aj -0	zpívat	zpív a -t
zrcadlem	zrc a dl -em	zrcadlo	zrc a dl -o
zrcátka	zrc á tk -a	zrcátko	zrc á tk -o
zřetelné	zř e teln -é	zřetelný	zř e teln -ý
zval	zv a l -0	zvát	zv á -t
zvonky	zvon k -y	zvonek	zvon ek -0
nezvonilo	ne zvon i l -o	zvonit	zvon i -t
žádám	žád á -m	žádat	žád a -t
nejžádoucnější	nej žád ouc n ějš -í	žádoucný	žád ouc n -ý
žebrákům	žebr ák -ům	žebrák	žebr ák -0
želízky	želíz k -y	želízko	želíz k -o
neženaté	ne žen at -é	ženatý	žen at -ý
ženské	žen sk -é	ženská	žen sk -á
ženských	žen sk -ých	ženský	žen sk -ý
žerdě	žerd -ě	žerď	žerď -0
životopisce	živ ot +o pis c -e	životopisec	živ ot +o pis ec -0
