Adding relation source: Homér#NNM??-----A---?, target smích#NNI??-----A---? which was originaly root
Adding relation source: studený#AA???----??---?, target zastydat#V????--??-??I?? which is root of tree containing zastydlý#AA???----??---? which is derivation of studený#AA???----??---? or some of his children
Adding relation source: studený#AA???----??---?, target stydět#V????--??-??I?? which is root of tree containing ostuda#NNF??-----A---? which is derivation of studený#AA???----??---? or some of his children
Adding relation source: stát#V???---??-??P??, target stanovit#V????--??-??P?? which is root of tree containing stanovy#NNFP?-----A---? which is derivation of stát#V???---??-??P?? or some of his children
Adding relation source: stín#NNI??-----A---?, target odstín#NNI??-----A---? which was originaly root
Adding relation source: stěna#NNF??-----A---?, target stín#NNI??-----A---? which is root of tree containing zástěna#NNF??-----A---? which is derivation of stěna#NNF??-----A---? or some of his children
Adding relation source: stěžovat#V????--??-??I??, target stihat#V????--??-??I?? which is root of tree containing stížnost#NNF??-----?---? which is derivation of stěžovat#V????--??-??I?? or some of his children
Adding relation source: střídat#V????--??-??I??, target střídnice#NNF??-----A---? which was originaly root
Adding relation source: stříkat#V????--??-??I??, target pistol#NNF??-----A---? which is root of tree containing stříkačka#NNF??-----A---? which is derivation of stříkat#V????--??-??I?? or some of his children
Adding relation source: subskribovat#V????--??-??I??, target subskripce#NNF??-----A---? which was originaly root
Adding relation source: sulc#NNI??-----A---?, target sulcovatět#V????--??-??I?? which was originaly root
Adding relation source: sunout#V????--??-??I??, target sesout#V????--??-??P?? which is root of tree containing sesuv#NNI??-----A---? which is derivation of sunout#V????--??-??I?? or some of his children
Adding relation source: sunout#V????--??-??I??, target vsout#V????--??-??P?? which is root of tree containing vsunout#V????--??-??P?? which is derivation of sunout#V????--??-??I?? or some of his children
Adding relation source: sunout#V????--??-??I??, target vysout#V????--??-??P?? which is root of tree containing vysunout#V????--??-??P?? which is derivation of sunout#V????--??-??I?? or some of his children
Adding relation source: suspendovat#V????--??-??P??, target suspenze#NNF??-----A---? which was originaly root
Adding relation source: svatý#A????----??---?, target vát#V????--??-??I?? which is root of tree containing svátost#NNF??-----?---? which is derivation of svatý#A????----??---? or some of his children
Adding relation source: svor#NNI??-----A---?, target svora#NNF??-----A---? which is root of tree containing svorka#NNF??-----A---? which is derivation of svor#NNI??-----A---? or some of his children
Adding relation source: svízel#NNF??-----A---?, target svízel#NNI??-----A---? which is root of tree containing svízelný#AA???----??---? which is derivation of svízel#NNF??-----A---? or some of his children
Adding relation source: svědět#V??????????????, target zasvědit#V???---??-??P?? which was originaly root
Adding relation source: svět#NNI??-----A---?, target zesvětštit#V????--??-??P?? which was originaly root
Adding relation source: syfilis#NNI??-----A---?, target syfilis#NNFXX-----A---- which is root of tree containing syfilitik#NNM??-----A---? which is derivation of syfilis#NNI??-----A---? or some of his children
Adding relation source: synkopa#NNF??-----A---?, target synkopovat#V????--??-??I?? which was originaly root
Adding relation source: syntagma#NNF??-----A---?, target syntagmatický#AA???----??---? which was originaly root
Adding relation source: syntagma#NNN??-----A---?, target syntagma#NNF??-----A---? which is root of tree containing syntagmatický#AA???----??---? which is derivation of syntagma#NNN??-----A---? or some of his children
Adding relation source: synthesa#NNF??-----A---?, target syntetický#AA???----??---? which was originaly root
Adding relation source: síra#NNF??-----A---?, target síran#NNI??-----A---? which was originaly root
Adding relation source: sít#V????--??-??I??, target osivo#NNN??-----A---? which was originaly root
Adding relation source: sít#V????--??-??I??, target secí#AA???----1?---? which was originaly root
Adding relation source: síť#NNF??-----A---?, target ledví#NNN??-----A---? which is root of tree containing síťovka#NNF??-----A---? which is derivation of síť#NNF??-----A---? or some of his children
Adding relation source: tabule#NNF??-----A---?, target tabula#NNF??-----A---? which is root of tree containing tabulový#AA???----??---? which is derivation of tabule#NNF??-----A---? or some of his children
Adding relation source: tabule#NNF??-----A---?, target tabulátor#NNI??-----A---? which was originaly root
Adding relation source: tahat#V????--??-??I??, target tažení#NNN??-----?---? which was originaly root
Adding relation source: tahat#V????--??-??I??, target vztáhat#V????--??-??I?? which is root of tree containing vztáhnout#V????--??-??P?? which is derivation of tahat#V????--??-??I?? or some of his children
Adding relation source: tahat#V????--??-??I??, target tažený#AA???----??---? which was originaly root
Adding relation source: taj#NNI??-----A---?, target tajemný#AA???----??---? which was originaly root
Adding relation source: talent#NNM??-----A---?, target talent#NNI??-----A---? which is root of tree containing talentovaný#AA???----??---? which is derivation of talent#NNM??-----A---? or some of his children
Adding relation source: tele#NNN??-----A---?, target teletina#NNF??-----A---? which was originaly root
Adding relation source: tenor#NNI??-----A---?, target tenor#NNM??-----A---? which is root of tree containing tenorista#NNM??-----A---? which is derivation of tenor#NNI??-----A---? or some of his children
Adding relation source: tenze#NNF??-----A---?, target extenzita#NNF??-----A---? which was originaly root
Adding relation source: teorie#NNF??-----A---?, target teorém#NNI??-----A---? which was originaly root
Adding relation source: terapie#NNF??-----A---?, target terapeutika#NNF??-----A---? which is root of tree containing terapeutický#AA???----??---? which is derivation of terapie#NNF??-----A---? or some of his children
Adding relation source: tesat#V????--??-??I??, target útes#NNI??-----A---? which was originaly root
Adding relation source: tesknit#V????--??-??I??, target stýsknout#Vf--------A---- which is root of tree containing postesknout#V????--??-??P?? which is derivation of tesknit#V????--??-??I?? or some of his children
Adding relation source: tetanus#NNI??-----A---?, target tetan#NNI??-----A---? which is root of tree containing tetanový#AA???----??---? which is derivation of tetanus#NNI??-----A---? or some of his children
Adding relation source: textil#NNI??-----A---?, target tovar#NNI??-----A---? which is root of tree containing textilka#NNF??-----A---? which is derivation of textil#NNI??-----A---? or some of his children
Adding relation source: tichý#A????----??---?, target ztichat#V????--??-??I?? which is root of tree containing ztichnout#V????--??-??P?? which is derivation of tichý#A????----??---? or some of his children
Adding relation source: tichý#A????----??---?, target utichnout#V????--??-??P?? which was originaly root
Adding relation source: tip#NNI??-----A---?, target tip#AAXXX----1A---- which is root of tree containing vytipovat#V????--??-??P?? which is derivation of tip#NNI??-----A---? or some of his children
Adding relation source: tiskat#V????--??-??I??, target tištěný#AA???----??---? which was originaly root
Adding relation source: tkát#V????--??-??I??, target protkat#V????--??-??P?? which was originaly root
Adding relation source: tlesknout#V????--??-??P??, target tlesk#NNI??-----A---? which is root of tree containing potlesk#NNI??-----A---? which is derivation of tlesknout#V????--??-??P?? or some of his children
Adding relation source: topořit#V????--??-??I??, target topor#NNI??-----A---? which is root of tree containing topornost#NNF??-----?---? which is derivation of topořit#V????--??-??I?? or some of his children
Adding relation source: toxikomanie#NNF??-----A---?, target toxikoman#NNM??-----A---? which is root of tree containing toxikomanka#NNF??-----A---? which is derivation of toxikomanie#NNF??-----A---? or some of his children
Adding relation source: trať#NNF??-----A---?, target thrash#NNI??-----A---? which is root of tree containing traťový#AA???----??---? which is derivation of trať#NNF??-----A---? or some of his children
Adding relation source: trhat#V????--??-??I??, target trh#NNI??-----A---? which was originaly root
Adding relation source: trik#NNI??-----A---?, target triko#NNN??-----A---? which is root of tree containing trikový#AA???----??---? which is derivation of trik#NNI??-----A---? or some of his children
Adding relation source: trn#NNI??-----A---?, target strnisko#NNN??-----A---? which was originaly root
Adding relation source: tráva#NNF??-----A---?, target trávit#V????--??-??I?? which is root of tree containing travička#NNF??-----A---? which is derivation of tráva#NNF??-----A---? or some of his children
Adding relation source: trénovat#V????--??-??I??, target trenér#NNM??-----A---? which was originaly root
Adding relation source: trénovat#V????--??-??I??, target trenýrky#NNFP?-----A---? which was originaly root
Adding relation source: tuhý#A????----??---?, target tuha#NNF??-----A---? which is root of tree containing tuhový#AA???----??---? which is derivation of tuhý#A????----??---? or some of his children
Adding relation source: tuhý#A????----??---?, target ztuhat#V????--??-??I?? which is root of tree containing ztuhnout#V????--??-??P?? which is derivation of tuhý#A????----??---? or some of his children
Adding relation source: tuk#NNI??-----A---?, target odtučnit#V????--??-??P?? which was originaly root
Adding relation source: tuplovat#V????--??-??I??, target tuplák#NNI??-----A---? which was originaly root
Adding relation source: tuplovat#V????--??-??I??, target tuplem#Db------------- which was originaly root
Adding relation source: tygr#NNM??-----A---?, target tygřice#NNF??-----A---? which was originaly root
Adding relation source: túra#NNF??-----A---?, target turista#NNM??-----A---? which is root of tree containing turismus#NNI??-----A---? which is derivation of túra#NNF??-----A---? or some of his children
Adding relation source: týrat#V????--??-??I??, target tyranie#NNF??-----A---? which was originaly root
Adding relation source: těšit#V????--??-??I??, target utěšit#V????--??-??P?? which was originaly root
Adding relation source: těžit#V????--??-??I??, target tíha#NNF??-----A---? which is root of tree containing těžnice#NNF??-----A---? which is derivation of těžit#V????--??-??I?? or some of his children
Adding relation source: třít#V????--??-??I??, target třecí#AA???----1?---? which was originaly root
Adding relation source: ucho#NNF??-----A----, target ucho#NNN??-----A---? which is root of tree containing náušnice#NNF??-----A---? which is derivation of ucho#NNF??-----A---- or some of his children
Adding relation source: uctít#V????--??-??P??, target poctít#V????--??-??P?? which was originaly root
Adding relation source: udice#NNF??-----A---?, target uzda#NNF??-----A---? which is root of tree containing udidlo#NNN??-----A---? which is derivation of udice#NNF??-----A---? or some of his children
Adding relation source: urbanizmus#NNI??-----A---?, target urbanistika#NNF??-----A---? which is root of tree containing urbanistický#AA???----??---? which is derivation of urbanizmus#NNI??-----A---? or some of his children
Adding relation source: utilitarizmus#NNI??-----A---?, target utilita#NNF??-----A---? which is root of tree containing utilitární#AA???----??---? which is derivation of utilitarizmus#NNI??-----A---? or some of his children
Adding relation source: učit#V????--??-??I??, target samouk#NNM??-----A---? which was originaly root
Adding relation source: vadit#V????--??-??I??, target závada#NNF??-----A---? which is root of tree containing závadný#AA???----??---? which is derivation of vadit#V????--??-??I?? or some of his children
Adding relation source: varhany#NNIP?-----A---?, target varhany#NNFP?-----A---? which is root of tree containing varhánkovitý#AA???----??---? which is derivation of varhany#NNIP?-----A---? or some of his children
Adding relation source: varianta#NNF??-----A---?, target variance#NNF??-----A---? which is root of tree containing variantní#AA???----??---? which is derivation of varianta#NNF??-----A---? or some of his children
Adding relation source: venerik#NNM??-----A---?, target venerologie#NNF??-----A---? which is root of tree containing venerologický#AA???----??---? which is derivation of venerik#NNM??-----A---? or some of his children
Adding relation source: večer#Db-------------, target večer#NNI??-----A---? which is root of tree containing navečeřet#V????--??-??P?? which is derivation of večer#Db------------- or some of his children
Adding relation source: vina#NNF??-----A---?, target povinný#A????----??---? which is root of tree containing povinnost#NNF??-----?---? which is derivation of vina#NNF??-----A---? or some of his children
Adding relation source: vinšovat#V????--??-??I??, target vinš#NNI??-----A---? which was originaly root
Adding relation source: viset#V???---??-??I??, target převis#NNI??-----A---? which was originaly root
Adding relation source: viset#V???---??-??I??, target etiketa#NNF??-----A---? which is root of tree containing visačka#NNF??-----A---? which is derivation of viset#V???---??-??I?? or some of his children
Adding relation source: viset#V???---??-??I??, target vis#NNI??-----A---? which was originaly root
Adding relation source: viset#V???---??-??I??, target visací#AA???----1?---? which was originaly root
Adding relation source: visum#NNN??-----A---?, target viset#V???---??-??I?? which is root of tree containing bezvízový#AA???----??---? which is derivation of visum#NNN??-----A---? or some of his children
Adding relation source: vlahý#AA???----1?---?, target velhat#V????--??-??P?? which is root of tree containing navlhnout#V????--??-??P?? which is derivation of vlahý#AA???----1?---? or some of his children
Adding relation source: vléct#Vf--------A----, target závlač#NNF??-----A---? which is root of tree containing závlačka#NNF??-----A---? which is derivation of vléct#Vf--------A---- or some of his children
Adding relation source: vnuk#NNM??-----A---?, target vnučka#NNF??-----A---? which was originaly root
Adding relation source: volit#V????--??-??I??, target sůl#NNF??-----A---? which is root of tree containing svolný#A????----??---? which is derivation of volit#V????--??-??I?? or some of his children
Adding relation source: volt#NNI??-----A---?, target voltáž#NNF??-----A---? which was originaly root
Adding relation source: vrah#NNM??-----A---?, target vraždit#V????--??-??I?? which is root of tree containing zavraždit#V????--??-??P?? which is derivation of vrah#NNM??-----A---? or some of his children
Adding relation source: vrhnout#V????--??-??P??, target vrhač#NNM??-----A---? which is root of tree containing vrhačka#NNF??-----A---? which is derivation of vrhnout#V????--??-??P?? or some of his children
Adding relation source: vrhnout#V????--??-??P??, target převržený#AA???----??---? which is root of tree containing přívrženec#NNM??-----A---? which is derivation of vrhnout#V????--??-??P?? or some of his children
Adding relation source: vrhnout#V????--??-??P??, target opovržení#NNN??-----?---? which was originaly root
Adding relation source: vrhnout#V????--??-??P??, target zavrhat#V????--??-??I?? which is root of tree containing zavrhnout#V????--??-??P?? which is derivation of vrhnout#V????--??-??P?? or some of his children
Adding relation source: vrtět#V????--??-??I??, target kolovrátkář#NNM??-----A---? which was originaly root
Adding relation source: vrásnit#V????--??-??I??, target vraštit#V????--??-??I?? which is root of tree containing svraštit#V????--??-??P?? which is derivation of vrásnit#V????--??-??I?? or some of his children
Adding relation source: vysoký#AA???----??---?, target Vysoký#NNM??-----A---? which is root of tree containing vysočina#NNF??-----A---? which is derivation of vysoký#AA???----??---? or some of his children
Adding relation source: vysoký#AA???----??---?, target vyvýšit#V????--??-??P?? which was originaly root
Adding relation source: vzduch#NNI??-----A---?, target vzdušit#V????--??-??P?? which is root of tree containing odvzdušnit#V????--??-??P?? which is derivation of vzduch#NNI??-----A---? or some of his children
Adding relation source: vztek#NNI??-----A---?, target vzteklit#V????--??-??P?? which is root of tree containing rozvzteklit#V????--??-??P?? which is derivation of vztek#NNI??-----A---? or some of his children
Adding relation source: váza#NNF??-----A---?, target vázička#NNF??-----A---? which was originaly root
Adding relation source: vášeň#NNF??-----A---?, target vášnit#V????--??-??I?? which is root of tree containing vášnivost#NNF??-----?---? which is derivation of vášeň#NNF??-----A---? or some of his children
Adding relation source: vést#V????--??-??I??, target vojevodit#V????--??-??I?? which is root of tree containing vévodit#V????--??-??I?? which is derivation of vést#V????--??-??I?? or some of his children
Adding relation source: víno#NNN??-----A---?, target vina#NNF??-----A---? which is root of tree containing vinice#NNF??-----A---? which is derivation of víno#NNN??-----A---? or some of his children
Adding relation source: vít#V????--??-??I??, target zavinout#V????--??-??P?? which is root of tree containing závin#NNI??-----A---? which is derivation of vít#V????--??-??I?? or some of his children
Adding relation source: vít#V????--??-??I??, target rozvoj#NNI??-----A---? which is root of tree containing rozvojový#AA???----??---? which is derivation of vít#V????--??-??I?? or some of his children
Adding relation source: vítr#NNI??-----A---?, target řídit#V????--??-??I?? which is root of tree containing větrák#NNI??-----A---? which is derivation of vítr#NNI??-----A---? or some of his children
Adding relation source: zakrsat#V????--??-??I??, target zákrs#NNM??-----A---? which is root of tree containing zákrsek#NNI??-----A---? which is derivation of zakrsat#V????--??-??I?? or some of his children
Adding relation source: začít#V????--??-??P??, target začít#V????--??-??P?? which is root of tree containing začáteční#AA???----1?---? which is derivation of začít#V????--??-??P?? or some of his children
Adding relation source: zbroj#NNF??-----A---?, target brojit#V????--??-??I?? which is root of tree containing zbrojení#NNN??-----?---? which is derivation of zbroj#NNF??-----A---? or some of his children
Adding relation source: zelený#AA???----??---?, target zelí#NNN??-----A---? which is root of tree containing zelinářský#AA???----??---? which is derivation of zelený#AA???----??---? or some of his children
Adding relation source: zet#NNNXX-----A----, target zet#V???---??-??I?? which is root of tree containing zející#AG???-----?---? which is derivation of zet#NNNXX-----A---- or some of his children
Adding relation source: zima#Db-------------, target zima#NNF??-----A---? which is root of tree containing přezimovat#V????--??-??B?? which is derivation of zima#Db------------- or some of his children
Adding relation source: znamení#NNN??-----A---?, target znamenitý#AA???----??---? which was originaly root
Adding relation source: znamení#NNN??-----A---?, target znamenat#V????--??-??I?? which is root of tree containing poznamenat#V????--??-??P?? which is derivation of znamení#NNN??-----A---? or some of his children
Adding relation source: znát#V???---??-??I??, target seznam#NNI??-----A---? which was originaly root
Adding relation source: zoologie#NNF??-----A---?, target zoo#NNXXX-----A---- which was originaly root
Adding relation source: zrcadlo#NNN??-----A---?, target fotoaparát#NNI??-----A---? which is root of tree containing zrcadlovka#NNF??-----A---? which is derivation of zrcadlo#NNN??-----A---? or some of his children
Adding relation source: zub#NNI??-----A---?, target lék#NNI??-----A---? which is root of tree containing zubařka#NNF??-----A---? which is derivation of zub#NNI??-----A---? or some of his children
Adding relation source: zvon#NNI??-----A---?, target zvoneček#NNI??-----A---? which was originaly root
Adding relation source: zvát#N??????????????, target zvát#V????--??-??I?? which is root of tree containing zvaný#AA???----??---? which is derivation of zvát#N?????????????? or some of his children
Adding relation source: zvíře#NNN??-----A---?, target zvěr#NNI??-----A---? which is root of tree containing zvěrstvo#NNN??-----A---? which is derivation of zvíře#NNN??-----A---? or some of his children
Adding relation source: účet#NNI??-----A---?, target číst#V????--??-??I?? which is root of tree containing zúčtovat#V????--??-??P?? which is derivation of účet#NNI??-----A---? or some of his children
Adding relation source: častý#AA???----??---?, target častokrát#Db------------? which was originaly root
Adding relation source: čelo#NNN??-----A---?, target náčelní#AA???----1?---? which is root of tree containing náčelník#NNM??-----A---? which is derivation of čelo#NNN??-----A---? or some of his children
Adding relation source: čep#NNI??-----A---?, target výčep#NNI??-----A---? which was originaly root
Adding relation source: čepel#NNI??-----A---?, target čepel#NNF??-----A---? which is root of tree containing čepelka#NNF??-----A---? which is derivation of čepel#NNI??-----A---? or some of his children
Adding relation source: česat#V????--??-??I??, target účes#NNI??-----A---? which was originaly root
Adding relation source: čin#NNI??-----?---?, target příčina#NNF??-----A---? which is root of tree containing zapříčinit#V????--??-??P?? which is derivation of čin#NNI??-----?---? or some of his children
Adding relation source: člen#NNM??-----?---?, target člen#NNI??-----?---? which is root of tree containing rozčlenit#V????--??-??P?? which is derivation of člen#NNM??-----?---? or some of his children
Adding relation source: čmelák#NNM??-----A---?, target čmel#NNM??-----A---? which is root of tree containing čmelík#NNM??-----A---? which is derivation of čmelák#NNM??-----A---? or some of his children
Adding relation source: čoudit#V????--??-??I??, target čoud#NNI??-----A---? which was originaly root
Adding relation source: čtverák#NNM??-----A---?, target čtveračit#V????--??-??I?? which was originaly root
Adding relation source: čundr#NNI??-----A---?, target čundrat#V????--??-??I?? which is root of tree containing čundrovat#V????--??-??I?? which is derivation of čundr#NNI??-----A---? or some of his children
Adding relation source: čuně#NNN??-----A---?, target čunče#NNN??-----A---? which was originaly root
Adding relation source: čutat#V????--??-??I??, target čutaná#NNF??-----A---? which was originaly root
Adding relation source: číslo#NNN??-----A---?, target nesčíslný#AA???----1A---? which was originaly root
Adding relation source: čůrat#V????--??-??I??, target čůrek#NNI??-----A---? which was originaly root
Adding relation source: řepa#NNF??-----A---?, target řepíček#NNI??-----A---? which was originaly root
Adding relation source: řezat#V????--??-??I??, target jednota#NNF??-----A---? which is root of tree containing řezačka#NNF??-----A---? which is derivation of řezat#V????--??-??I?? or some of his children
Adding relation source: říct#Vf--------A----, target výrok#NNI??-----A---? which was originaly root
Adding relation source: říct#Vf--------A----, target řečit#V????--??-??I?? which is root of tree containing řečený#AA???----??---? which is derivation of říct#Vf--------A---- or some of his children
Adding relation source: říct#Vf--------A----, target uřknout#V????--??-??P?? which was originaly root
Adding relation source: šaltovat#V????--??-??I??, target šaltpáka#NNF??-----A---? which was originaly root
Adding relation source: šat#NNI??-----A---?, target šaty#NNIP?-----A---? which is root of tree containing šatstvo#NNN??-----A---? which is derivation of šat#NNI??-----A---? or some of his children
Adding relation source: šat#NNI??-----A---?, target šátek#NNI??-----A---? which was originaly root
Adding relation source: šedý#AA???----??---?, target zašedat#V????--??-??I?? which is root of tree containing zašedlý#AA???----??---? which is derivation of šedý#AA???----??---? or some of his children
Adding relation source: šiška#NNF??-----A---?, target šišatět#V????--??-??I?? which was originaly root
Adding relation source: šklebit#V????--??-??I??, target úškleb#NNI??-----A---? which is root of tree containing úšklebek#NNI??-----A---? which is derivation of šklebit#V????--??-??I?? or some of his children
Adding relation source: šklebit#V????--??-??I??, target ošklíbat#V????--??-??I?? which was originaly root
Adding relation source: škoda#NNF??-----A---?, target záškodný#AA???----??---? which is root of tree containing záškodník#NNM??-----A---? which is derivation of škoda#NNF??-----A---? or some of his children
Adding relation source: škraloup#NNI??-----A---?, target škraloupovitý#AA???----??---? which was originaly root
Adding relation source: škrob#NNM??-----A---?, target škrob#NNI??-----A---? which is root of tree containing škrobnatý#AA???----??---? which is derivation of škrob#NNM??-----A---? or some of his children
Adding relation source: šmak#NNI??-----A---?, target šmáknout#V????--??-??P?? which is root of tree containing pošmáknout#V????--??-??P?? which is derivation of šmak#NNI??-----A---? or some of his children
Adding relation source: šmudla#NNM??-----A---?, target šmudlat#V????--??-??I?? which is root of tree containing ušmudlaný#AA???----??---? which is derivation of šmudla#NNM??-----A---? or some of his children
Adding relation source: šnek#NNI??-----A---?, target šnekovitý#AA???----??---? which was originaly root
Adding relation source: šnek#NNI??-----A---?, target šnek#NNM??-----A---? which is root of tree containing šnečí#AA???----1?---? which is derivation of šnek#NNI??-----A---? or some of his children
Adding relation source: špice#NNF??-----A---?, target zub#NNI??-----A---? which is root of tree containing špičák#NNI??-----A---? which is derivation of špice#NNF??-----A---? or some of his children
Adding relation source: štáb#NNI??-----A---?, target štába#NNM??-----A---? which is root of tree containing štábní#AA???----1?---? which is derivation of štáb#NNI??-----A---? or some of his children
Adding relation source: šumět#V????--??-??I??, target prach#NNI??-----A---? which is root of tree containing šumák#NNI??-----A---? which is derivation of šumět#V????--??-??I?? or some of his children
Adding relation source: švihat#V????--??-??I??, target švih#NNI??-----A---? which was originaly root
Adding relation source: švihat#V????--??-??I??, target zášvih#NNI??-----A---? which was originaly root
Adding relation source: švitořit#V????--??-??I??, target švitora#NNM??-----A---? which is root of tree containing švitorka#NNF??-----A---? which is derivation of švitořit#V????--??-??I?? or some of his children
Adding relation source: šít#V????--??-??I??, target Ševcov#NNM??-----A---? which is root of tree containing ševcovský#AA???----??---? which is derivation of šít#V????--??-??I?? or some of his children
Adding relation source: žebro#NNN??-----A---?, target vézt#V????--??-??I?? which is root of tree containing žebřiňák#NNI??-----A---? which is derivation of žebro#NNN??-----A---? or some of his children
Adding relation source: žralok#NNI??-----A---?, target žralok#NNM??-----A---? which is root of tree containing žraločí#AA???----1?---? which is derivation of žralok#NNI??-----A---? or some of his children
Adding relation source: žádat#V????--??-??I??, target žádoucí#AA???----1?---? which was originaly root
Adding relation source: žít#V????--??-??I??, target živit#V????--??-??I?? which is root of tree containing živitelka#NNF??-----A---? which is derivation of žít#V????--??-??I?? or some of his children
Adding relation source: žít#V????--??-??I??, target živel#NNI??-----A---? which was originaly root
